2023-08-07 19:13:49,056 sMRI, param size = 0.089 MB
2023-08-07 19:13:52,455 ******* Epoch 1, Train Loss MSE 197.96, Train MAE 15.78 *******
2023-08-07 19:13:52,455 ******* Epoch 1, Val Loss MSE 142.91, Val MAE 13.33 *******
2023-08-07 19:13:54,449 ******* Epoch 2, Train Loss MSE 80.37, Train MAE 9.59 *******
2023-08-07 19:13:54,449 ******* Epoch 2, Val Loss MSE 74.36, Val MAE 8.75 *******
2023-08-07 19:13:56,414 ******* Epoch 3, Train Loss MSE 76.24, Train MAE 9.26 *******
2023-08-07 19:13:56,414 ******* Epoch 3, Val Loss MSE 72.36, Val MAE 8.97 *******
2023-08-07 19:13:58,370 ******* Epoch 4, Train Loss MSE 68.04, Train MAE 8.75 *******
2023-08-07 19:13:58,370 ******* Epoch 4, Val Loss MSE 92.14, Val MAE 9.60 *******
2023-08-07 19:14:00,294 ******* Epoch 5, Train Loss MSE 69.47, Train MAE 8.87 *******
2023-08-07 19:14:00,294 ******* Epoch 5, Val Loss MSE 79.52, Val MAE 8.84 *******
2023-08-07 19:14:02,715 ******* Epoch 6, Train Loss MSE 63.49, Train MAE 8.40 *******
2023-08-07 19:14:02,716 ******* Epoch 6, Val Loss MSE 121.83, Val MAE 11.98 *******
2023-08-07 19:14:04,802 ******* Epoch 7, Train Loss MSE 63.86, Train MAE 8.38 *******
2023-08-07 19:14:04,802 ******* Epoch 7, Val Loss MSE 58.41, Val MAE 7.69 *******
2023-08-07 19:14:06,736 ******* Epoch 8, Train Loss MSE 57.89, Train MAE 7.96 *******
2023-08-07 19:14:06,736 ******* Epoch 8, Val Loss MSE 65.31, Val MAE 8.31 *******
2023-08-07 19:14:08,754 ******* Epoch 9, Train Loss MSE 60.97, Train MAE 8.20 *******
2023-08-07 19:14:08,755 ******* Epoch 9, Val Loss MSE 78.59, Val MAE 9.50 *******
2023-08-07 19:14:10,657 ******* Epoch 10, Train Loss MSE 56.58, Train MAE 7.80 *******
2023-08-07 19:14:10,657 ******* Epoch 10, Val Loss MSE 66.47, Val MAE 8.08 *******
2023-08-07 19:14:12,637 ******* Epoch 11, Train Loss MSE 58.88, Train MAE 8.01 *******
2023-08-07 19:14:12,638 ******* Epoch 11, Val Loss MSE 57.41, Val MAE 7.64 *******
2023-08-07 19:14:14,722 ******* Epoch 12, Train Loss MSE 57.06, Train MAE 7.92 *******
2023-08-07 19:14:14,723 ******* Epoch 12, Val Loss MSE 77.16, Val MAE 9.04 *******
